name,email,personnummer,average_heartbeat,chronic_illness
Mika Korhonen,mika.korhonen502@example.se,19501105-5659,69,Celiac Disease
Elias Virtanen,elias.virtanen501@example.se,19650203-7908,65,Asthma
Maja Eriksen,maja.eriksen269@example.se,19600810-3826,65,COPD
Aksel Karlsen,aksel.karlsen401@example.se,19630916-1541,52,Asthma
Kari Dahl,kari.dahl595@example.se,19500415-8200,61,Arthritis
Erik Virtanen,erik.virtanen116@example.se,19930905-7494,67,Asthma
Kasper Olofsson,kasper.olofsson74@example.se,19690215-2942,83,Celiac Disease
Nora Virtanen,nora.virtanen137@example.se,19980920-1372,85,Arthritis
Erik Holm,erik.holm536@example.se,19670822-3845,56,Arthritis
Henrik Berg,henrik.berg852@example.se,19520809-5224,66,Arthritis
Ingrid Lund,ingrid.lund867@example.se,19900206-8057,84,Hypothyroidism
Erik Sigurdsson,erik.sigurdsson862@example.se,19880717-5315,68,Celiac Disease
Elias Poulsen,elias.poulsen262@example.se,20000519-8218,75,Type 2 Diabetes
Nora Virtanen,nora.virtanen167@example.se,19861217-9816,63,Hypothyroidism
Kasper Lund,kasper.lund454@example.se,20050110-3225,74,Arthritis
Kasper Laine,kasper.laine398@example.se,19930921-9825,69,COPD
Kasper Karlsen,kasper.karlsen959@example.se,19761004-6054,73,
Erik Karlsen,erik.karlsen202@example.se,19600626-8681,76,Type 2 Diabetes
Vilde Nielsen,vilde.nielsen827@example.se,19750507-5013,68,
Henrik Andersson,henrik.andersson710@example.se,19540123-6382,91,Celiac Disease
Freja Johansen,freja.johansen704@example.se,20020603-1982,70,Celiac Disease
Freja Berg,freja.berg885@example.se,19581025-1941,71,Type 2 Diabetes
Vilde Nielsen,vilde.nielsen162@example.se,19661128-4131,67,Asthma
Sofie Olofsson,sofie.olofsson845@example.se,19860219-7901,77,Celiac Disease
Henrik Sigurdsson,henrik.sigurdsson718@example.se,19741016-8310,62,
Vilde Andersson,vilde.andersson586@example.se,19580108-3904,66,Type 2 Diabetes
Maja Andersson,maja.andersson223@example.se,19611128-1601,67,COPD
Henrik Korhonen,henrik.korhonen26@example.se,19640305-3557,83,Hypertension
Oskar Karlsen,oskar.karlsen347@example.se,19860605-1320,69,Celiac Disease
Mika Dahl,mika.dahl517@example.se,19780717-9044,66,Celiac Disease
Aksel Poulsen,aksel.poulsen682@example.se,19920107-4731,63,Celiac Disease
Freja Hansen,freja.hansen903@example.se,19800219-1593,56,Celiac Disease
Henrik Olofsson,henrik.olofsson694@example.se,19691018-2699,68,Celiac Disease
Jonas Karlsen,jonas.karlsen726@example.se,19800714-6425,68,Hypothyroidism
Nora Laine,nora.laine288@example.se,19930524-9001,87,Arthritis
Sofie Sigurdsson,sofie.sigurdsson518@example.se,19650625-2052,76,Asthma
Lars Andersson,lars.andersson693@example.se,19660914-8899,94,Migraine
Sanna Olofsson,sanna.olofsson413@example.se,19951110-6291,69,Migraine
Henrik Johansen,henrik.johansen520@example.se,19771113-3779,88,Arthritis
Kari Berg,kari.berg846@example.se,19871210-2241,74,Asthma
Freja Johansen,freja.johansen916@example.se,19580219-2928,61,Type 2 Diabetes
Lars Lund,lars.lund331@example.se,19830314-5428,79,Migraine
Vilde Poulsen,vilde.poulsen83@example.se,19520321-6526,71,Asthma
Freja Hansen,freja.hansen607@example.se,19700324-8031,73,Celiac Disease
Nora Poulsen,nora.poulsen957@example.se,19850209-9847,69,Hypothyroidism
Maja Dahl,maja.dahl4@example.se,19811027-5068,54,Celiac Disease
Anna Nielsen,anna.nielsen16@example.se,19800303-5362,71,Type 2 Diabetes
Lars Virtanen,lars.virtanen708@example.se,19960928-7574,56,
Sofie Nielsen,sofie.nielsen851@example.se,19650118-4042,61,
Freja Johansen,freja.johansen850@example.se,19790413-3731,70,Asthma
Tilde Rasmussen,tilde.rasmussen876@example.se,19710822-1172,80,Asthma
Freja Dahl,freja.dahl116@example.se,19980507-9919,60,
Lars Nielsen,lars.nielsen830@example.se,19930321-7510,66,Celiac Disease
Henrik Rasmussen,henrik.rasmussen636@example.se,19780102-5862,57,Migraine
Ingrid Eriksen,ingrid.eriksen237@example.se,20050113-5356,57,Hypertension
Jonas Eriksen,jonas.eriksen380@example.se,19720808-2348,64,Asthma
Sofie Rasmussen,sofie.rasmussen857@example.se,19630908-8964,82,Asthma
Elias Berg,elias.berg708@example.se,19591221-5120,72,Hypertension
Lars Johansen,lars.johansen445@example.se,19750211-1056,78,Type 2 Diabetes
Tilde Olofsson,tilde.olofsson295@example.se,19890828-6264,88,Hypothyroidism
Emil Holm,emil.holm40@example.se,19940102-3152,72,Asthma
Lars Rasmussen,lars.rasmussen706@example.se,19730312-3692,62,Asthma
Henrik Eriksen,henrik.eriksen631@example.se,19651215-7799,72,Migraine
Vilde Holm,vilde.holm176@example.se,19880222-3757,57,Hypertension
Jonas Andersson,jonas.andersson101@example.se,19830415-1711,65,
Elias Dahl,elias.dahl233@example.se,19781223-1648,68,Migraine
Jonas Andersson,jonas.andersson579@example.se,19661005-7041,70,Migraine
Ingrid Sigurdsson,ingrid.sigurdsson192@example.se,19650727-3184,66,COPD
Kari Rasmussen,kari.rasmussen678@example.se,20040319-5032,81,Type 2 Diabetes
Erik Svensson,erik.svensson812@example.se,20000106-4288,100,Hypothyroidism
Elias Holm,elias.holm684@example.se,19970616-7014,61,Hypothyroidism
Tilde Laine,tilde.laine845@example.se,19731212-5240,66,Celiac Disease
Kari Hansen,kari.hansen651@example.se,19710613-5454,68,Hypertension
Tilde Hansen,tilde.hansen851@example.se,19840714-6065,65,Migraine
Nora Rasmussen,nora.rasmussen135@example.se,19790518-5672,86,Hypertension
Nora Nielsen,nora.nielsen567@example.se,19870506-6113,60,COPD
Freja Johansen,freja.johansen716@example.se,19850318-1788,87,Celiac Disease
Erik Karlsen,erik.karlsen75@example.se,19980715-4118,78,Hypothyroidism
Erik Poulsen,erik.poulsen29@example.se,19950313-5352,67,COPD
Vilde Johansen,vilde.johansen310@example.se,19751214-3452,68,
Aksel Olofsson,aksel.olofsson899@example.se,19860412-3577,84,
Tilde Nielsen,tilde.nielsen78@example.se,19691012-4394,63,Asthma
Anna Holm,anna.holm406@example.se,19850609-2441,49,Hypertension
Sanna Olofsson,sanna.olofsson772@example.se,19900201-5776,61,Hypertension
Sofie Olofsson,sofie.olofsson463@example.se,19741123-1466,86,Hypothyroidism
Nora Lund,nora.lund773@example.se,19950622-2762,71,
Tilde Johansen,tilde.johansen495@example.se,20020627-8410,85,Arthritis
Anna Eriksen,anna.eriksen576@example.se,19880523-5411,64,Asthma
Elias Eriksen,elias.eriksen614@example.se,19930516-5723,71,Type 2 Diabetes
Henrik Virtanen,henrik.virtanen126@example.se,19641216-2905,68,Migraine
Kasper Hansen,kasper.hansen736@example.se,20051004-9993,76,COPD
Vilde Karlsen,vilde.karlsen672@example.se,19520425-5968,71,
Elias Johansen,elias.johansen794@example.se,19500104-2972,57,
Mika Rasmussen,mika.rasmussen995@example.se,19910406-9435,50,Asthma
Kari Eriksen,kari.eriksen99@example.se,19700901-3729,63,Arthritis
Mika Nielsen,mika.nielsen913@example.se,19891009-5052,88,Arthritis
Kari Olofsson,kari.olofsson137@example.se,19900208-7624,63,Arthritis
Erik Berg,erik.berg833@example.se,19840807-4796,80,COPD
Sofie Eriksen,sofie.eriksen846@example.se,19520101-2408,88,Hypothyroidism
Ingrid Hansen,ingrid.hansen941@example.se,19811111-3726,75,Arthritis
Kasper Karlsen,kasper.karlsen969@example.se,19520908-2391,72,Type 2 Diabetes
Sanna Rasmussen,sanna.rasmussen771@example.se,19740106-8748,79,Migraine
Maja Poulsen,maja.poulsen232@example.se,19950924-7727,76,Migraine
Anna Holm,anna.holm773@example.se,19970702-4438,81,
Sanna Andersson,sanna.andersson901@example.se,20000111-6308,70,Hypertension
Maja Nielsen,maja.nielsen729@example.se,19611206-7170,72,Hypertension
Henrik Svensson,henrik.svensson349@example.se,19690701-3200,59,Hypothyroidism
Jonas Korhonen,jonas.korhonen486@example.se,19760225-1027,81,COPD
Elias Virtanen,elias.virtanen14@example.se,19530611-9745,66,Arthritis
Mika Berg,mika.berg41@example.se,19590926-8627,51,Migraine
Freja Olofsson,freja.olofsson66@example.se,19650822-8253,65,
Lars Karlsen,lars.karlsen276@example.se,19950821-6414,70,
Kari Karlsen,kari.karlsen658@example.se,19600409-4834,68,Migraine
Kasper Olofsson,kasper.olofsson365@example.se,20020701-6063,71,
Emil Lund,emil.lund711@example.se,19871220-5318,77,Migraine
Freja Sigurdsson,freja.sigurdsson575@example.se,19921205-5291,83,
Maja Berg,maja.berg784@example.se,19850807-8898,62,
Sofie Karlsen,sofie.karlsen657@example.se,19970602-5583,82,Asthma
Jonas Korhonen,jonas.korhonen256@example.se,19550704-3964,68,Asthma
Kari Lund,kari.lund292@example.se,19800621-3773,59,Hypothyroidism
Sanna Berg,sanna.berg847@example.se,20010216-4771,69,Asthma
Aksel Hansen,aksel.hansen124@example.se,19641114-9014,75,
Nora Svensson,nora.svensson394@example.se,19581120-6119,60,Hypertension
Jonas Sigurdsson,jonas.sigurdsson726@example.se,19551024-4769,87,Hypertension
Aksel Hansen,aksel.hansen635@example.se,19940405-2306,79,Hypothyroidism
Nora Karlsen,nora.karlsen134@example.se,19681012-4963,79,Migraine
Sanna Laine,sanna.laine645@example.se,19790602-2019,52,COPD
Jonas Holm,jonas.holm177@example.se,19600626-3274,50,Type 2 Diabetes
Oskar Olofsson,oskar.olofsson310@example.se,19721107-7277,84,COPD
Kasper Andersson,kasper.andersson171@example.se,19650202-8262,67,Hypertension
Sanna Berg,sanna.berg390@example.se,19561101-5988,86,Type 2 Diabetes
Nora Berg,nora.berg53@example.se,19590406-2748,65,Type 2 Diabetes
Elias Berg,elias.berg639@example.se,19830520-4431,72,COPD
Ingrid Berg,ingrid.berg227@example.se,19920320-4932,59,
Aksel Olofsson,aksel.olofsson10@example.se,19661128-5355,79,Arthritis
Jonas Eriksen,jonas.eriksen915@example.se,20050708-3832,57,Hypothyroidism
Jonas Karlsen,jonas.karlsen977@example.se,19521009-3260,77,Hypothyroidism
Kasper Svensson,kasper.svensson384@example.se,19680122-4505,74,Arthritis
Erik Dahl,erik.dahl540@example.se,19960726-4331,78,Type 2 Diabetes
Aksel Andersson,aksel.andersson962@example.se,19760409-1233,68,Asthma
Sanna Andersson,sanna.andersson16@example.se,19711013-8009,59,Asthma
Sofie Korhonen,sofie.korhonen579@example.se,19891216-6177,80,Asthma
Lars Nielsen,lars.nielsen100@example.se,19570307-5380,75,Asthma
Anna Karlsen,anna.karlsen476@example.se,19660515-6695,64,Hypertension
Vilde Svensson,vilde.svensson830@example.se,19970215-6440,71,Type 2 Diabetes
Emil Andersson,emil.andersson367@example.se,19650126-7516,76,Hypothyroidism
Anna Lund,anna.lund318@example.se,19851228-7470,74,
Maja Eriksen,maja.eriksen123@example.se,19701223-6691,62,Asthma
Jonas Karlsen,jonas.karlsen135@example.se,19971103-8580,65,Asthma
Lars Virtanen,lars.virtanen969@example.se,19760514-1637,61,
Mika Johansen,mika.johansen419@example.se,19741219-3065,69,COPD
Kari Poulsen,kari.poulsen288@example.se,19610207-4013,71,Arthritis
Henrik Virtanen,henrik.virtanen143@example.se,19840403-5542,77,
Oskar Karlsen,oskar.karlsen718@example.se,19500511-6297,90,COPD
Lars Lund,lars.lund133@example.se,19890921-1669,60,Migraine
Vilde Sigurdsson,vilde.sigurdsson361@example.se,19591221-3096,73,Arthritis
Sanna Svensson,sanna.svensson754@example.se,19810320-3063,77,Arthritis
Kasper Nielsen,kasper.nielsen546@example.se,19830311-9645,81,Migraine
Mika Holm,mika.holm41@example.se,19620223-7397,69,
Lars Andersson,lars.andersson537@example.se,19770122-1343,60,Migraine
Kari Virtanen,kari.virtanen533@example.se,19700910-6801,62,COPD
Elias Virtanen,elias.virtanen862@example.se,19841203-9148,51,Migraine
Henrik Dahl,henrik.dahl236@example.se,19980828-6957,78,Celiac Disease
Aksel Lund,aksel.lund540@example.se,19551124-6149,79,COPD
Aksel Korhonen,aksel.korhonen969@example.se,20001021-1695,81,Asthma
Maja Nielsen,maja.nielsen486@example.se,20020423-2896,48,Migraine
Ingrid Poulsen,ingrid.poulsen567@example.se,19620907-5531,74,Celiac Disease
Aksel Andersson,aksel.andersson559@example.se,20050704-2970,62,Celiac Disease
Jonas Andersson,jonas.andersson560@example.se,20020508-9124,64,Type 2 Diabetes
Sanna Olofsson,sanna.olofsson107@example.se,19920528-2635,65,Hypertension
Emil Svensson,emil.svensson788@example.se,19660419-6438,69,Arthritis
Ingrid Laine,ingrid.laine420@example.se,19820313-3728,96,Arthritis
Sofie Svensson,sofie.svensson22@example.se,19840509-5592,87,Hypertension
Tilde Karlsen,tilde.karlsen896@example.se,19601223-8329,60,Hypertension
Henrik Olofsson,henrik.olofsson521@example.se,19750827-5260,58,COPD
Elias Korhonen,elias.korhonen683@example.se,20000610-4391,76,Hypothyroidism
Mika Johansen,mika.johansen935@example.se,19930426-5631,82,
Emil Johansen,emil.johansen782@example.se,19571004-8593,56,Hypothyroidism
Oskar Hansen,oskar.hansen498@example.se,19581126-5264,78,Hypothyroidism
Oskar Karlsen,oskar.karlsen368@example.se,19590613-3534,64,Celiac Disease
Sofie Rasmussen,sofie.rasmussen619@example.se,19520119-5263,68,Type 2 Diabetes
Lars Lund,lars.lund702@example.se,19960310-2774,79,Type 2 Diabetes
Erik Andersson,erik.andersson543@example.se,19910207-9838,75,
Ingrid Korhonen,ingrid.korhonen497@example.se,19560210-9943,62,Arthritis
Anna Olofsson,anna.olofsson712@example.se,19861102-6348,97,Type 2 Diabetes
Lars Andersson,lars.andersson222@example.se,19681117-8960,66,Migraine
Kari Nielsen,kari.nielsen278@example.se,19601207-3247,79,
Anna Dahl,anna.dahl642@example.se,19550522-4107,60,COPD
Vilde Rasmussen,vilde.rasmussen335@example.se,19920813-1417,43,Hypothyroidism
Anna Dahl,anna.dahl303@example.se,19510512-1354,75,Arthritis
Mika Sigurdsson,mika.sigurdsson142@example.se,20041119-8481,77,Celiac Disease
Tilde Dahl,tilde.dahl261@example.se,19760316-6543,70,Hypothyroidism
Ingrid Hansen,ingrid.hansen594@example.se,19881009-6511,33,Asthma
Lars Karlsen,lars.karlsen556@example.se,19790524-3989,72,Hypothyroidism
Lars Virtanen,lars.virtanen348@example.se,19791208-6075,59,Arthritis
Mika Svensson,mika.svensson788@example.se,19710211-5406,62,Migraine
Oskar Korhonen,oskar.korhonen861@example.se,19840706-6482,76,Asthma
Aksel Rasmussen,aksel.rasmussen452@example.se,19690410-7689,60,Hypertension
Elias Sigurdsson,elias.sigurdsson805@example.se,19901225-7265,60,Arthritis
Ingrid Svensson,ingrid.svensson235@example.se,19821106-7932,77,COPD
Kasper Holm,kasper.holm309@example.se,19531227-6177,76,Hypothyroidism
Tilde Karlsen,tilde.karlsen446@example.se,19960327-8483,72,
Sofie Andersson,sofie.andersson907@example.se,19910117-9211,79,Arthritis
Mika Andersson,mika.andersson458@example.se,19750708-9272,75,Type 2 Diabetes
Maja Olofsson,maja.olofsson949@example.se,19530811-3266,59,Type 2 Diabetes
Sanna Sigurdsson,sanna.sigurdsson196@example.se,20050708-7720,72,Asthma
Henrik Sigurdsson,henrik.sigurdsson426@example.se,19990721-6041,93,Arthritis
Sanna Poulsen,sanna.poulsen119@example.se,19920504-2460,70,Migraine
Anna Laine,anna.laine445@example.se,20020717-2421,88,
Kasper Poulsen,kasper.poulsen939@example.se,19891219-7863,46,Hypothyroidism
Kari Karlsen,kari.karlsen8@example.se,19650720-8761,79,Migraine
Henrik Virtanen,henrik.virtanen315@example.se,19620503-4018,89,Hypertension
Lars Karlsen,lars.karlsen491@example.se,19581210-6991,62,Hypothyroidism
Nora Nielsen,nora.nielsen981@example.se,19920412-8839,61,
Erik Sigurdsson,erik.sigurdsson958@example.se,19690928-8899,71,
Sofie Karlsen,sofie.karlsen697@example.se,19570512-8326,65,Hypothyroidism
Ingrid Rasmussen,ingrid.rasmussen486@example.se,19870225-9709,74,
Oskar Laine,oskar.laine546@example.se,19510814-7800,65,Hypothyroidism
Oskar Johansen,oskar.johansen54@example.se,19510710-6354,72,
Freja Lund,freja.lund514@example.se,19941212-6948,67,Celiac Disease
Elias Karlsen,elias.karlsen418@example.se,19521124-2303,81,Migraine
Nora Rasmussen,nora.rasmussen745@example.se,19930122-7686,76,Migraine
Jonas Laine,jonas.laine24@example.se,19870405-5886,61,Arthritis
Henrik Karlsen,henrik.karlsen598@example.se,19780816-9520,72,Type 2 Diabetes
Maja Olofsson,maja.olofsson896@example.se,19960905-8501,66,Arthritis
Elias Karlsen,elias.karlsen715@example.se,19580117-5989,80,Hypothyroidism
Ingrid Holm,ingrid.holm970@example.se,19850408-2085,68,Hypothyroidism
Kasper Olofsson,kasper.olofsson209@example.se,19740207-8676,78,
Oskar Berg,oskar.berg298@example.se,20050925-2263,87,Hypertension
Elias Johansen,elias.johansen729@example.se,19551119-6687,75,
Mika Rasmussen,mika.rasmussen489@example.se,19780901-3875,76,Type 2 Diabetes
Vilde Laine,vilde.laine726@example.se,19500511-8066,92,Migraine
Kasper Berg,kasper.berg626@example.se,19571118-7422,71,Hypothyroidism
Lars Rasmussen,lars.rasmussen34@example.se,19520815-5616,81,Arthritis
Erik Andersson,erik.andersson968@example.se,19990615-9575,79,Hypertension
Maja Karlsen,maja.karlsen952@example.se,19510422-5809,85,Arthritis
Vilde Johansen,vilde.johansen587@example.se,19740121-2048,61,Asthma
Lars Dahl,lars.dahl462@example.se,19550907-1580,59,Type 2 Diabetes
Erik Johansen,erik.johansen464@example.se,19750728-7022,45,Migraine
Jonas Poulsen,jonas.poulsen684@example.se,19610707-2563,66,Celiac Disease
Ingrid Laine,ingrid.laine439@example.se,19890110-6595,62,COPD
Kasper Svensson,kasper.svensson59@example.se,19570228-6258,49,Hypothyroidism
Freja Virtanen,freja.virtanen700@example.se,19700517-1006,59,Celiac Disease
Oskar Lund,oskar.lund140@example.se,19910311-8268,74,Hypothyroidism
Jonas Svensson,jonas.svensson805@example.se,19811104-2148,74,
Nora Andersson,nora.andersson758@example.se,19740617-5643,72,Hypertension
Lars Hansen,lars.hansen189@example.se,19500311-2757,52,Asthma
Jonas Andersson,jonas.andersson842@example.se,19860311-6266,87,Celiac Disease
Ingrid Virtanen,ingrid.virtanen530@example.se,19520801-7776,60,Type 2 Diabetes
Vilde Hansen,vilde.hansen838@example.se,19650520-5771,70,Hypothyroidism
Freja Korhonen,freja.korhonen939@example.se,19861012-2009,80,
Maja Nielsen,maja.nielsen606@example.se,19550807-5410,74,Hypothyroidism
Emil Olofsson,emil.olofsson907@example.se,19960302-6129,58,Hypertension
Mika Hansen,mika.hansen946@example.se,19870817-2423,78,COPD
Lars Korhonen,lars.korhonen978@example.se,19760319-6633,67,Celiac Disease
Kari Olofsson,kari.olofsson615@example.se,19641208-6027,68,
Lars Korhonen,lars.korhonen772@example.se,19801206-1350,70,
Maja Holm,maja.holm360@example.se,19651112-4665,75,Asthma
Vilde Dahl,vilde.dahl362@example.se,19850813-5468,60,
Mika Hansen,mika.hansen883@example.se,19950114-6579,53,Type 2 Diabetes
Sanna Karlsen,sanna.karlsen282@example.se,19700215-4250,85,
Henrik Holm,henrik.holm601@example.se,19890602-1990,56,Arthritis
Vilde Andersson,vilde.andersson664@example.se,19990102-1077,73,Migraine
Tilde Johansen,tilde.johansen440@example.se,19520306-7455,68,
Vilde Berg,vilde.berg680@example.se,20040424-9361,71,Arthritis
Tilde Andersson,tilde.andersson705@example.se,19680628-3393,65,Type 2 Diabetes
Vilde Sigurdsson,vilde.sigurdsson720@example.se,19930909-5179,97,Type 2 Diabetes
Mika Korhonen,mika.korhonen453@example.se,20020125-4473,65,
Ingrid Laine,ingrid.laine131@example.se,19521117-1236,94,Arthritis
Emil Laine,emil.laine287@example.se,19900125-7556,68,COPD
Henrik Karlsen,henrik.karlsen370@example.se,19950619-8340,62,Migraine
Henrik Karlsen,henrik.karlsen852@example.se,19810614-9275,64,Celiac Disease
Anna Rasmussen,anna.rasmussen958@example.se,19721224-5598,83,Hypertension
Jonas Rasmussen,jonas.rasmussen868@example.se,19610725-6204,64,
Kasper Olofsson,kasper.olofsson468@example.se,19630315-3774,57,Arthritis
Anna Olofsson,anna.olofsson966@example.se,19841026-7504,81,Asthma
Kasper Sigurdsson,kasper.sigurdsson738@example.se,19880314-4733,72,
Mika Korhonen,mika.korhonen294@example.se,19730309-4182,71,Asthma
Jonas Laine,jonas.laine573@example.se,19870223-9698,75,Migraine
Erik Hansen,erik.hansen660@example.se,19930501-4665,81,Asthma
Kasper Berg,kasper.berg951@example.se,19760423-6748,54,Celiac Disease
Kari Dahl,kari.dahl746@example.se,19880805-1116,67,Hypertension
Vilde Dahl,vilde.dahl22@example.se,19910513-8389,70,Hypothyroidism
Mika Svensson,mika.svensson126@example.se,19720707-2743,65,Hypertension
Kari Virtanen,kari.virtanen408@example.se,19940901-5552,71,COPD
Kari Svensson,kari.svensson672@example.se,19500420-2116,79,Celiac Disease
Lars Johansen,lars.johansen930@example.se,19870623-3060,86,Arthritis
Vilde Karlsen,vilde.karlsen132@example.se,19670602-5121,84,Hypothyroidism
Kari Karlsen,kari.karlsen356@example.se,19550214-3778,66,Hypothyroidism
Sanna Lund,sanna.lund273@example.se,20040801-3635,72,Type 2 Diabetes
Kari Svensson,kari.svensson34@example.se,19730402-7367,72,Arthritis
Elias Berg,elias.berg874@example.se,19821202-1221,68,Hypothyroidism
Oskar Holm,oskar.holm62@example.se,19590520-7082,73,Migraine
Vilde Eriksen,vilde.eriksen414@example.se,19640408-3849,70,Hypothyroidism
Kasper Andersson,kasper.andersson604@example.se,19640701-7974,77,
Ingrid Nielsen,ingrid.nielsen935@example.se,19711206-1574,66,Migraine
Ingrid Nielsen,ingrid.nielsen914@example.se,19570402-7479,77,Hypothyroidism
Henrik Eriksen,henrik.eriksen509@example.se,19910119-1179,80,COPD
Ingrid Eriksen,ingrid.eriksen178@example.se,20041027-5580,78,Hypertension
Mika Hansen,mika.hansen653@example.se,19610220-6124,71,Arthritis
Oskar Dahl,oskar.dahl928@example.se,19980214-4406,83,COPD
Maja Sigurdsson,maja.sigurdsson691@example.se,20050324-6470,63,Type 2 Diabetes
Lars Andersson,lars.andersson17@example.se,19870224-1961,67,Celiac Disease
Henrik Rasmussen,henrik.rasmussen264@example.se,19821221-7493,78,COPD
Emil Lund,emil.lund492@example.se,19910903-7952,66,Asthma
Henrik Svensson,henrik.svensson998@example.se,19851025-2317,66,Type 2 Diabetes
Maja Sigurdsson,maja.sigurdsson690@example.se,19800908-3864,63,Hypothyroidism
Freja Korhonen,freja.korhonen470@example.se,19611016-1483,96,Type 2 Diabetes
Erik Berg,erik.berg786@example.se,20000507-8214,71,Migraine
Sanna Berg,sanna.berg189@example.se,19611022-4173,67,COPD
Ingrid Sigurdsson,ingrid.sigurdsson5@example.se,19860510-5332,69,COPD
Kari Johansen,kari.johansen966@example.se,19510510-9472,71,Celiac Disease
Sofie Rasmussen,sofie.rasmussen382@example.se,19540720-8547,63,
Mika Johansen,mika.johansen207@example.se,19921020-4866,72,Arthritis
Maja Berg,maja.berg922@example.se,19710427-2329,71,
Kari Andersson,kari.andersson444@example.se,19890623-9145,74,Hypertension
Mika Dahl,mika.dahl609@example.se,19550203-2432,69,Arthritis
Vilde Korhonen,vilde.korhonen333@example.se,19800817-4598,80,Type 2 Diabetes
Aksel Nielsen,aksel.nielsen397@example.se,19650610-3010,74,Hypertension
Oskar Nielsen,oskar.nielsen571@example.se,19530718-9352,54,Hypertension
Kari Hansen,kari.hansen902@example.se,19610925-4182,71,
Vilde Karlsen,vilde.karlsen448@example.se,19540506-8375,64,Hypertension
Kari Nielsen,kari.nielsen513@example.se,19571011-5051,51,Hypothyroidism
Henrik Virtanen,henrik.virtanen683@example.se,19790822-3422,69,Type 2 Diabetes
Mika Sigurdsson,mika.sigurdsson184@example.se,19881010-3676,75,Hypothyroidism
Anna Berg,anna.berg960@example.se,19841011-3980,60,Celiac Disease
Henrik Hansen,henrik.hansen438@example.se,19930109-1067,65,Hypothyroidism
Kari Karlsen,kari.karlsen528@example.se,19920115-6314,87,Hypertension
Tilde Svensson,tilde.svensson727@example.se,19910519-6553,70,Celiac Disease
Elias Rasmussen,elias.rasmussen575@example.se,19590222-1422,57,
Nora Lund,nora.lund6@example.se,19730602-1102,74,Asthma
Mika Virtanen,mika.virtanen112@example.se,19511112-9112,58,Arthritis
Sofie Virtanen,sofie.virtanen965@example.se,19910919-2246,81,
Anna Svensson,anna.svensson905@example.se,19920605-5503,56,Hypertension
Jonas Andersson,jonas.andersson591@example.se,20030314-2566,70,Type 2 Diabetes
Mika Karlsen,mika.karlsen388@example.se,19860909-3752,71,Hypothyroidism
Tilde Berg,tilde.berg439@example.se,20010906-8999,50,Migraine
Jonas Laine,jonas.laine833@example.se,19880725-7075,76,Asthma
Sanna Olofsson,sanna.olofsson605@example.se,19950211-4182,73,
Vilde Nielsen,vilde.nielsen736@example.se,19640502-3960,80,Hypothyroidism
Erik Hansen,erik.hansen394@example.se,19570219-5401,45,Asthma
Anna Holm,anna.holm420@example.se,19690916-8300,69,Hypothyroidism
Oskar Virtanen,oskar.virtanen467@example.se,19560608-4237,69,COPD
Ingrid Hansen,ingrid.hansen355@example.se,19710909-9113,70,Type 2 Diabetes
Sofie Andersson,sofie.andersson776@example.se,19990417-5647,78,Hypothyroidism
Tilde Dahl,tilde.dahl574@example.se,19641205-2893,51,Arthritis
Kasper Lund,kasper.lund946@example.se,19920626-1628,70,COPD
Lars Hansen,lars.hansen700@example.se,19701122-5986,84,Asthma
Erik Svensson,erik.svensson164@example.se,19870925-5109,82,Celiac Disease
Maja Olofsson,maja.olofsson561@example.se,19971115-2484,78,Type 2 Diabetes
Emil Virtanen,emil.virtanen78@example.se,19570619-5204,74,Arthritis
Tilde Dahl,tilde.dahl339@example.se,19550505-9468,64,Hypertension
Emil Rasmussen,emil.rasmussen870@example.se,19520511-5030,57,COPD
Erik Andersson,erik.andersson241@example.se,19891119-3159,72,COPD
Freja Eriksen,freja.eriksen536@example.se,19850715-6361,67,Asthma
Maja Lund,maja.lund213@example.se,19781009-9688,71,Hypothyroidism
Sofie Lund,sofie.lund145@example.se,19860620-1316,56,
Sofie Rasmussen,sofie.rasmussen465@example.se,19871219-6050,64,Migraine
Henrik Poulsen,henrik.poulsen267@example.se,19960326-4174,74,Type 2 Diabetes
Oskar Virtanen,oskar.virtanen996@example.se,20050125-9526,61,Hypertension
Oskar Korhonen,oskar.korhonen321@example.se,19671113-7593,92,Arthritis
Kasper Rasmussen,kasper.rasmussen413@example.se,19530510-5721,76,
Kasper Olofsson,kasper.olofsson504@example.se,19961218-5471,59,Celiac Disease
Vilde Andersson,vilde.andersson46@example.se,19681122-9283,76,Hypertension
Aksel Lund,aksel.lund158@example.se,19530227-5314,79,
Oskar Karlsen,oskar.karlsen295@example.se,19920615-3353,67,Arthritis
Oskar Dahl,oskar.dahl878@example.se,20030602-4189,66,Celiac Disease
Ingrid Olofsson,ingrid.olofsson246@example.se,20010204-5673,90,Type 2 Diabetes
Henrik Svensson,henrik.svensson402@example.se,19770305-2078,61,Migraine
Oskar Nielsen,oskar.nielsen659@example.se,19700414-4787,76,COPD
Maja Berg,maja.berg764@example.se,19800320-7892,80,Celiac Disease
Jonas Virtanen,jonas.virtanen118@example.se,20030927-3009,70,
Kasper Johansen,kasper.johansen231@example.se,19770614-4704,74,Hypothyroidism
Oskar Karlsen,oskar.karlsen304@example.se,19880523-9658,72,Hypothyroidism
Kasper Nielsen,kasper.nielsen9@example.se,19861020-6748,67,Type 2 Diabetes
Jonas Andersson,jonas.andersson978@example.se,19851215-7232,88,Type 2 Diabetes
